var,run,key,median_rmsd,mean_rmsd,std_rmsd,ccc,inversion_ratio,wd_N-CA,wd_CA-C,wd_C-N,wd_CA-CB
14.0,1.0,test_trans,1.699,1.723,0.31,0.967,0.055,0.133,0.14,0.14,0.136
14.0,1.0,train_closed,0.953,0.963,0.09,0.933,0.216,0.112,0.118,0.121,0.116
14.0,1.0,train_open,1.034,1.051,0.114,0.891,0.413,0.116,0.122,0.125,0.116
14.0,2.0,test_trans,1.675,1.692,0.299,0.971,0.184,0.118,0.131,0.131,0.125
14.0,2.0,train_closed,0.924,0.932,0.087,0.944,0.572,0.094,0.108,0.109,0.097
14.0,2.0,train_open,1.01,1.027,0.123,0.902,0.122,0.098,0.109,0.115,0.102
14.0,3.0,test_trans,1.633,1.65,0.3,0.972,0.223,0.1,0.115,0.12,0.098
14.0,3.0,train_closed,0.861,0.871,0.085,0.948,0.841,0.081,0.092,0.098,0.081
14.0,3.0,train_open,0.957,0.969,0.109,0.904,0.135,0.085,0.096,0.097,0.085
14.0,4.0,test_trans,1.66,1.673,0.302,0.972,0.146,0.113,0.119,0.131,0.119
14.0,4.0,train_closed,0.898,0.907,0.088,0.944,0.684,0.095,0.1,0.111,0.102
14.0,4.0,train_open,0.992,1.008,0.118,0.918,0.136,0.096,0.109,0.117,0.103
14.0,5.0,test_trans,1.66,1.667,0.298,0.965,0.191,0.113,0.124,0.13,0.115
14.0,5.0,train_closed,0.901,0.911,0.086,0.944,0.533,0.09,0.1,0.108,0.096
14.0,5.0,train_open,0.987,1.003,0.111,0.899,0.276,0.096,0.107,0.109,0.099
15.0,1.0,test_trans,1.577,1.596,0.246,0.975,0.16,0.117,0.119,0.129,0.117
15.0,1.0,train_closed,0.869,0.879,0.088,0.953,0.756,0.092,0.089,0.101,0.092
15.0,1.0,train_open,0.949,0.964,0.108,0.924,0.51,0.092,0.095,0.108,0.092
15.0,2.0,test_trans,1.581,1.595,0.249,0.975,0.124,0.108,0.116,0.117,0.116
15.0,2.0,train_closed,0.85,0.86,0.081,0.96,0.708,0.083,0.088,0.091,0.089
15.0,2.0,train_open,0.93,0.944,0.105,0.923,0.364,0.086,0.092,0.098,0.091
